Nom,Industrie,Siège Social,Site Web,Taille(employés),Fondée,Forme Juridique,Adresse 1,Adresse 2,Ville,Region,Code Postal
Pixel Factory,Production audiovisuelle,"10 rue Ghandi
Rabat
10000
Maroc",http://www.pixelfactory.ma,1-10,2013,Société à responsabilité limitée,10 rue Ghandi,,Rabat,,10000
Chrysalide Prod,Production audiovisuelle,"1, rue Abou Hadil Allaf Place Bel-air 1er étage, appt. n° 3
Casablanca
20070
Maroc",http://www.chrysalideprod.com,,1996,Société à responsabilité limitée,"1, rue Abou Hadil Allaf Place Bel-air 1er étage, appt. n° 3",,Casablanca,,20070
Spring Media House,Production audiovisuelle,"Avenue Youssef Ibn Tachefinem Fifth floor N 32
Tangier
Maroc",http://www.springmediatraining.com/,1-10,2013,Établissement éducatif,Avenue Youssef Ibn Tachefinem Fifth floor N 32,,Tangier,,
en360.ma,Production audiovisuelle,"Belvédère
Casablanca
Maroc",http://www.en360.ma,1-10,2011,Société à responsabilité limitée,Belvédère,,Casablanca,,
Med Production,Production audiovisuelle,"2 Rue Jabal Bouiblane, Agdal
Rabat
10020
Maroc",http://www.medprod.ma,51-200,2010,Société à responsabilité limitée,"2 Rue Jabal Bouiblane, Agdal",,Rabat,,10020
Info-express.ma,Production audiovisuelle,"7 Rue Biskra, Quartier les Hôpitaux
Casablanca
Maroc",http://www.info-express.ma,1-10,,Société à responsabilité limitée,"7 Rue Biskra, Quartier les Hôpitaux",,Casablanca,,
Nomade Studios,Production audiovisuelle,"95, Rue Farhat Hachad
Mers Sultan
Casablanca
Grand Casablanca
20000
Maroc",http://www.nomadestudios.com,1-10,2008,Société à responsabilité limitée,"95, Rue Farhat Hachad",Mers Sultan,Casablanca,Grand Casablanca,20000
Xerus Media,Production audiovisuelle,"3 rue Thann
Casablanca
Casablanca
20000
Maroc",http://www.xerusmedia.com,1-10,2010,Société à responsabilité limitée,3 rue Thann,,Casablanca,Casablanca,20000
Delta studio maroc,Production audiovisuelle,"BD zerktouni, Casablanca, Maroc
Casablanca
Maroc",http://deltastudio-maroc.com/,11-50,2012,Société à responsabilité limitée,"BD zerktouni, Casablanca, Maroc",,Casablanca,,
Plug-in Studios,Production audiovisuelle,Maroc,http://www.studio-plug.com,51-200,2006,Société cotée en bourse,,,,,
18 Productions,Production audiovisuelle,"90000
Maroc",http://www.18prod.com,1-10,2007,Société de personnes (associés),,,,,90000
iDESIGN Maroc,Production audiovisuelle,"10, Rue Oum Errabii Résidence Hamza
3ème Etage Appt N°14
Rabat
Rabat
10090
Maroc",http://www.idesign.ma,1-10,2008,Société à responsabilité limitée,"10, Rue Oum Errabii Résidence Hamza",3ème Etage Appt N°14,Rabat,Rabat,10090
Artcoustic Solutions,Production audiovisuelle,"4, rue El Hamam rez-de chaussée,Rue d'Agadir
Casablanca
Casablanca
20000
Maroc",http://www.Artcoustic.ma,1-10,2011,Société à responsabilité limitée,"4, rue El Hamam rez-de chaussée,Rue d'Agadir",,Casablanca,Casablanca,20000
HIT RADIO,Production audiovisuelle,"3 rue Assouhaili
Rabat
10090
Maroc",http://www.hitradio.ma,51-200,2006,Société de personnes (associés),3 rue Assouhaili,,Rabat,,10090
radio aswat,Production audiovisuelle,"Ghandi Mall, Bd Ghandi - Imm 9 - 1er Etage
Casablanca
Maroc",http://www.aswat.ma,51-200,2007,Travailleur indépendant ou profession libérale,"Ghandi Mall, Bd Ghandi - Imm 9 - 1er Etage",,Casablanca,,
VIDEORAMA,Production audiovisuelle,"5 Blvd de l'atlantique - Ain Diab - Casablanca
Casablanca
20 000
Maroc",http://www.videorama.ma,51-200,1986,Société à responsabilité limitée,5 Blvd de l'atlantique - Ain Diab - Casablanca,,Casablanca,,20 000
:: AsaadSoft Youtube Channel ::,Production audiovisuelle,"Youtube
Maroc",http://www.youtube.com/asaad022000,,2010,Société cotée en bourse,,,Youtube,,
SNRT,Production audiovisuelle,Maroc,http://www.snrt.ma,,,Société cotée en bourse,,,,,
ATLANTIQUE VISION,Produits électroniques grand public,"100002
Maroc",http://ATV,51-200,,Société à responsabilité limitée,,,,,100002
Success Editions,Presse écrite,"5, Rue Jabal Tazekka, Agdal 10 080
Rabat
Rabat, Salé
10 000
Maroc",http://www.success-editions.com/,11-50,2007,Société à responsabilité limitée,"5, Rue Jabal Tazekka, Agdal 10 080",,Rabat,"Rabat, Salé",10 000
RCAR,Politiques publiques,"10100
Maroc",http://www.rcar.ma,51-200,1977,Société cotée en bourse,,,,,10100
Perspectives Med,Presse écrite,"8, yacoub el Mansour N°31
Casablanca
Maroc",http://www.perspectivesmed.ma/,1-10,2005,Société cotée en bourse,"8, yacoub el Mansour N°31",,Casablanca,,
Les Affaires.ma,Presse écrite,Maroc,http://www.lesaffaires.ma,1-10,,Société à responsabilité limitée,,,,,
H24Info,Presse écrite,"Villa Senerim
Angle Boulevard Ibn Sina et Rue Abou rayane Al Falaki
Casablanca
Casablanca
20330
Maroc",http://www.h24info.ma,51-200,2013,Société de personnes (associés),Villa Senerim,Angle Boulevard Ibn Sina et Rue Abou rayane Al Falaki,Casablanca,Casablanca,20330
Medias24,Presse écrite,"159 bd yacoub mansour
casablanca
morocco
23500
Maroc",http://www.medias24.com,11-50,2013,Société à responsabilité limitée,159 bd yacoub mansour,,casablanca,morocco,23500
Groupe Archimedia,Presse écrite,"8, rue Melouia
Casablanca
Maroc",http://www.archimedia.ma,11-50,2000,Société à responsabilité limitée,"8, rue Melouia",,Casablanca,,
Brosserie du Sahel,Plastiques,"LOT 88-90 Zone Industrielle du Sahel
Had Soualem
Chaouia-Ouardigha
26400
Maroc",http://www.brosahel.com,51-200,1998,Société à responsabilité limitée,LOT 88-90 Zone Industrielle du Sahel,,Had Soualem,Chaouia-Ouardigha,26400
IMAGE EXPERIENCE,Photographie,"106 rue pierre parent
casablanca
20000
Maroc",http://www.image-experience.ma,1-10,2012,Société à responsabilité limitée,106 rue pierre parent,,casablanca,,20000
FocusM,Photographie,"Val d'anfa
Casablanca
Maroc
Maroc",http://www.focusm.ma/,1-10,2013,Société à responsabilité limitée,Val d'anfa,,Casablanca,Maroc,
Mémo Box,Photographie,"Rue du Golf des comores, Villa Emeraude 7, Anfa
Casablanca
20000
Maroc",http://memobox.ma/,1-10,2014,Société à responsabilité limitée,"Rue du Golf des comores, Villa Emeraude 7, Anfa",,Casablanca,,20000
Yapasphoto,Photographie,"41, Rue Point du Jour
Quartier Racine Extension
Casablanca
Casablanca
Maroc",http://www.yapasphoto.ma,11-50,2008,Société à responsabilité limitée,"41, Rue Point du Jour",Quartier Racine Extension,Casablanca,Casablanca,
Atlas Photos,Photographie,"Parc Plaza 1
Imm G2 / Bureau 9
Mohammedia
28800
Maroc",http://www.atlasphotos.ma,1-10,2009,Société à responsabilité limitée,Parc Plaza 1,Imm G2 / Bureau 9,Mohammedia,,28800
Still Images sarl,Photographie,"Résidence Achraf, Rue Ibn Atya
Gueliz
Marrakech
Marrakech
40020
Maroc",http://www.still-images.net,1-10,2001,Société à responsabilité limitée,"Résidence Achraf, Rue Ibn Atya",Gueliz,Marrakech,Marrakech,40020
Photolife.ma,Photographie,"4, place des iris
Casablanca
--Sélectionnez votre état--
20000
Maroc",http://www.photolife.ma,11-50,2014,Société à responsabilité limitée,"4, place des iris",,Casablanca,--Sélectionnez votre état--,20000
Oussama Benbila,Photographie,"Agdal
Rabat
Maroc
10000
Maroc",http://www.oussamabenbila.com,1-10,,Société à responsabilité limitée,Agdal,,Rabat,Maroc,10000
Micagricol,Plastiques,"Face Gare oncf, Sidi Maârouf QI, Casablanca-Maroc
Casablanca
Maroc",http://www.nonwoven.ma,51-200,2004,Société à responsabilité limitée,"Face Gare oncf, Sidi Maârouf QI, Casablanca-Maroc",,Casablanca,,
LE PLASTIQUE,Plastiques,"Angle Chemins des Glaïeuls et des Orchidées
Ain Sebaa
CASABLANCA
Maroc",http://www.leplastique.com,51-200,1956,Société de personnes (associés),Angle Chemins des Glaïeuls et des Orchidées,Ain Sebaa,CASABLANCA,,
Surgelmar,Pêche,"Avv. Hassan II - Bureau n.24 - Imm. Zerkdi espace Waliy El Ahd
Agadir
80000
Maroc",http://www.surgelmar.com,11-50,2010,Société à responsabilité limitée,Avv. Hassan II - Bureau n.24 - Imm. Zerkdi espace Waliy El Ahd,,Agadir,,80000
LOCALUB,Pétrole et énergie,"Zone Industrielle Tassila C4 RB 20 - 40
Agadir
80000
Maroc",http://www.localub.com,11-50,2010,Société à responsabilité limitée,Zone Industrielle Tassila C4 RB 20 - 40,,Agadir,,80000
Econosol,Pétrole et énergie,"122, avenue du Docteur Mohamed Sijelmassi
casablanca
20050
Maroc",http://www.econosol.ma,11-50,,Société à responsabilité limitée,"122, avenue du Docteur Mohamed Sijelmassi",,casablanca,,20050
MedSurvey (Land & Marine Survey),Pétrole et énergie,"App N° 2, Imm 27, Residence Nour Californie
Quartier Californie
Casablanca
20000
Maroc",http://www.medsurvey.ma,1-10,2012,Société à responsabilité limitée,"App N° 2, Imm 27, Residence Nour Californie",,Quartier Californie,Casablanca,20000
King Pelagique Group,Pêche,"234-235 ZI Hay Assalam
Dakhla
73000
Maroc",http://www.kingpelagique.com,1001-5 000,1994,Société cotée en bourse,234-235 ZI Hay Assalam,,Dakhla,,73000
Institut National de Recherche Halieutique (INRH),Pêche,"Bd Sidi Abderrahman - Ain Diab
Casablanca
Maroc",http://www.inrh.ma,201-500,,Administration publique,Bd Sidi Abderrahman - Ain Diab,,Casablanca,,
GAITS Industries,Pétrole et énergie,"Bd Abdelmoumen
Casablanca
20340
Maroc",http://gaits.ma,11-50,2013,Société à responsabilité limitée,Bd Abdelmoumen,,Casablanca,,20340
ProSupport Morocco,Pétrole et énergie,"Yacoub El Mansour
Parc Plaza
Mohammedia
28810
Maroc",http://prosupportmorocco.com/,1-10,2012,Société à responsabilité limitée,Yacoub El Mansour,Parc Plaza,Mohammedia,,28810
Sakia Petrol LLC,Pétrole et énergie,Maroc,http://www.spetrol.ma,1-10,,Société à responsabilité limitée,,,,,
Petromin Oils Maroc,Pétrole et énergie,"18, rue Jilali Ghafiri
Casablanca
20250
Maroc",http://www.petromin.ma,201-500,1989,Société de personnes (associés),"18, rue Jilali Ghafiri",,Casablanca,,20250
Société Marocaine d’Audit Efficacité Energétique 'SMAEE',Pétrole et énergie,"N°321, TECHNOPARK
Casablanca
20190
Maroc",http://www.smaee.com,1-10,2013,Société à responsabilité limitée,"N°321, TECHNOPARK",,Casablanca,,20190
souss lubrifiants,Pétrole et énergie,"bernoussi
casablanca
maroc
20440
Maroc",http://www.sousslub.com,,,Travailleur indépendant ou profession libérale,bernoussi,,casablanca,maroc,20440
Groupe El Joumani,Pétrole et énergie,"10000
Maroc",http://www.joumani.net,5 001-10 000,1988,Société à responsabilité limitée,,,,,10000
AFRIQUIA SMDC,Pétrole et énergie,"220000
Maroc",http://www.afriquia.ma,501-1 000 employés,,Société de personnes (associés),,,,,220000
ONHYM,Pétrole et énergie,"5,Avenue Moulay Hassan BP99
Rabat
10000
Maroc",http://www.onhym.com,501-1 000 employés,,Administration publique,"5,Avenue Moulay Hassan BP99",,Rabat,,10000
STROC INDUSTRIE,Pétrole et énergie,"4 RUE DES TABORS, QUARTIER OASIS
CASABLANCA
Maroc",http://www.stroc.com,1001-5 000,1989,Société cotée en bourse,"4 RUE DES TABORS, QUARTIER OASIS",,CASABLANCA,,
Mouamalati,Services d’information,"SIDI MAAROUF BUSINESS CENTER, Casanearshore1, 1100 Boulevard Al Quods, Quartier Sidi Maarouf, 20190
Casablanca
20190
Maroc",http://Mouamalati.ma,1-10,,Société à responsabilité limitée,"SIDI MAAROUF BUSINESS CENTER, Casanearshore1, 1100 Boulevard Al Quods, Quartier Sidi Maarouf, 20190",,Casablanca,,20190
TapisClair,Services aux consommateurs,"17 rue Badr Assayab
Gauthier
Casablanca
20060
Maroc",http://tapisclair.com/,1-10,2014,Société cotée en bourse,17 rue Badr Assayab,Gauthier,Casablanca,,20060
Kerz Car Rental,Services aux consommateurs,"Bloc 13 bis, N°2 Hay sidi Mohammed - Agadir, 80 000 Agadir, Maroc
Agadir
Souss Massa Daraa
80 000
Maroc",http://www.kerz.ma,1-10,2011,Société à responsabilité limitée,"Bloc 13 bis, N°2 Hay sidi Mohammed - Agadir, 80 000 Agadir, Maroc",,Agadir,Souss Massa Daraa,80 000
IMANAGTEK SARL,Services aux consommateurs,"Lotissement 23 Hamra - 3 Hay Inara
3ème Etage
CASABLANCA
CASABLANCA
20150
Maroc",http://www.imanagtek.com,1-10,2012,Société à responsabilité limitée,Lotissement 23 Hamra - 3 Hay Inara,3ème Etage,CASABLANCA,CASABLANCA,20150
ABRICO,Services aux consommateurs,"5, Rue Mouataz El Falaki
Maarif
Casablanca
Maroc",http://www.abrico.ma,1-10,2014,Société à responsabilité limitée,"5, Rue Mouataz El Falaki",Maarif,Casablanca,,
biolav,Services aux consommateurs,"Bd Anfa Rés AL AMRI,5 éme étage quartier Racine
Bd Oued Tansift, Rue 137, N°37, Oulfa
CASABLANCA
CASABLANCA ANFA
20000
Maroc",http://www.biolav.ma,1-10,2012,Société à responsabilité limitée,"Bd Anfa Rés AL AMRI,5 éme étage quartier Racine","Bd Oued Tansift, Rue 137, N°37, Oulfa",CASABLANCA,CASABLANCA ANFA,20000
Voice Markets & Solutions,Services aux consommateurs,"casa
casablanca
Casablanca
20000
Maroc",http://www.voicemarkets-solutions.com,1-10,2013,Travailleur indépendant ou profession libérale,casa,,casablanca,Casablanca,20000
Leeha,Services aux consommateurs,"-
Rabat
10090
Maroc",http://www.leeha4her.com,1-10,2014,Société à responsabilité limitée,-,,Rabat,,10090
Aresoft Services,Services d’information,"Ain Sebaa
Casablanca
22000
Maroc",http://www.aresoft-services.com,1-10,,Société à responsabilité limitée,Ain Sebaa,,Casablanca,,22000
Replay Dev,Services d’information,"42 Imm Amira 2, Zahia
Rouidate, Gueliz
Marrakech
40000
Maroc",http://www.replaydev.com,1-10,2013,Société à responsabilité limitée,"42 Imm Amira 2, Zahia","Rouidate, Gueliz",Marrakech,,40000
Inforisk Maghreb,Services d’information,"42, Bd.Abdelmoumen, Imm.walili street, 3ème étage 20 360
casablanca
20 360
Maroc",http://www.inforisk.ma,11-50,2007,Travailleur indépendant ou profession libérale,"42, Bd.Abdelmoumen, Imm.walili street, 3ème étage 20 360",,casablanca,,20 360
Segma IT,Services d’information,"15, AV Al ABTAL N°4 Agdal
www.segma-it.com
Rabat
Rabat-Sale
10000
Maroc",http://www.segma-it.com,1-10,,Société à responsabilité limitée,"15, AV Al ABTAL N°4 Agdal",www.segma-it.com,Rabat,Rabat-Sale,10000
Tayiba for Knowledge & Information Services,Services d’information,"1177, rue Loukous
Hay Salam
SALE
Maroc",http://www.tayiba.com,,2009,Entreprise individuelle,"1177, rue Loukous",Hay Salam,SALE,,
HexaLance Consulting,Services d’information,": Imm N°18,App 3, 2ème Etage Avenue Ibn Khaldoun , Bab Mrissa
Salé
Rabat-salé-zemmour-zaer
11000
Maroc",http://www.hexalance.net,1-10,2015,Société à responsabilité limitée,": Imm N°18,App 3, 2ème Etage Avenue Ibn Khaldoun , Bab Mrissa",,Salé,Rabat-salé-zemmour-zaer,11000
HelloResto.Ma,Services aux consommateurs,"4, rue racine, Casablanca
Casablanca
Maroc",http://helloresto.ma,1-10,2013,Société de personnes (associés),"4, rue racine, Casablanca",,Casablanca,,
Qualinet services,Services aux consommateurs,"207,Boulevard La Résistance 7 ème étage, N°14
Casablanca
20500
Maroc",http://www.qualinet.ma,11-50,,Société à responsabilité limitée,"207,Boulevard La Résistance 7 ème étage, N°14",,Casablanca,,20500
Mogabio,Services aux consommateurs,"Douar Ait Yassine
Essaouira
Maroc",http://www.mogabio.com,1-10,2011,Société cotée en bourse,Douar Ait Yassine,,Essaouira,,
Activ'Travel Partner DMC Morocco,Services aux consommateurs,"54 Bd Moulay Youssef
Résidence Moulay Youssef, Bât J - RDC
Casablanca
20020
Maroc",http://www.activ-travel.com,11-50,1996,Société de personnes (associés),54 Bd Moulay Youssef,"Résidence Moulay Youssef, Bât J - RDC",Casablanca,,20020
YUZU - Maroc,Services aux consommateurs,"14, Rue Abou Said Soussi
Casablanca
Casablanca
20160
Maroc",http://www.doyuzu.com,1-10,2013,Société à responsabilité limitée,"14, Rue Abou Said Soussi",,Casablanca,Casablanca,20160
Even Firm,Services aux consommateurs,"59, Rue Al Khansae n°10 Quartier Palmier casablanca
casablanca
Maroc",http://Even.ma,11-50,2014,Société à responsabilité limitée,"59, Rue Al Khansae n°10 Quartier Palmier casablanca",,casablanca,,
Infinitable,Services aux consommateurs,"265, Bd Zerktouni
Casablanca
Maroc",http://www.infinitable.ma,1-10,2014,Société à responsabilité limitée,"265, Bd Zerktouni",,Casablanca,,
Carmine.ma,Services aux consommateurs,"Rue Ali abderazzak
Casablanca
Maroc",http://www.carmine.ma,1-10,2014,Entreprise individuelle,Rue Ali abderazzak,,Casablanca,,
Mariage Marrakech Annabelle Romain SARL,Services aux consommateurs,"Bab Kchich BP8516
Marrakech
40000
Maroc",http://www.annabelleromain.net,1-10,2005,Entreprise individuelle,Bab Kchich BP8516,,Marrakech,,40000
MCC ( Marketing Call Center),Services aux consommateurs,"98, avenue Fal Ould Oumeir Agdal
66 rue melouia, agdal
Rabat
10080
Maroc",http://www.mcc.ma,201-500,2005,Société de personnes (associés),"98, avenue Fal Ould Oumeir Agdal","66 rue melouia, agdal",Rabat,,10080
AKABAR Développement,Services d’information,"Ouled Saleh Industrial Area Lot Ennour Building 19
Casablanca
27182
Maroc",http://www.akabardeveloppement.com,1-10,2015,Entreprise individuelle,Ouled Saleh Industrial Area Lot Ennour Building 19,,Casablanca,,27182
digitiv-it,Services d’information,"Rue sebta , Nº 7, résidence rami , Bureau Nº8 -, Casablanca
Casablanca
Maroc",http://www.digitiv-it.com,11-50,,Société à responsabilité limitée,"Rue sebta , Nº 7, résidence rami , Bureau Nº8 -, Casablanca",,Casablanca,,
LeRelais.ma,Services d’information,"39, Av. Lalla Yacout 5ème ETG Appt D
Casablanca
Maroc",http://www.lerelais.ma,1-10,2012,Société à responsabilité limitée,"39, Av. Lalla Yacout 5ème ETG Appt D",,Casablanca,,
Decidata Consulting,Services d’information,"Bureau 258, Technopark
Route de Nouacer
Casablanca
Casablanca
20072
Maroc",http://www.decidataconsulting.com,1-10,2012,Société de personnes (associés),"Bureau 258, Technopark",Route de Nouacer,Casablanca,Casablanca,20072
Annuaire Tchad,Services d’information,"RUE ABDELAZIZ BOUTALEB,IMMEUBLE ANAS
RABAT
10050
Maroc",http://www.annuaire-tchad.com/,1-10,2013,Société à responsabilité limitée,"RUE ABDELAZIZ BOUTALEB,IMMEUBLE ANAS",,RABAT,,10050
Les Coulisses de Tanger,Services d’information,"x
x
Tanger
90000
Maroc",http://www.lescoulissesdetanger.com,,2009,Non lucratif,x,x,Tanger,,90000
SODIPRESS,Services d’information,"10, Place des Nations Unies
Casablanca
20080
Maroc",http://www.sodipress.com,51-200,1982,Société à responsabilité limitée,"10, Place des Nations Unies",,Casablanca,,20080
Dyn IT Maroc,Services d’information,"51, Avenue Tadla - Aviation
Rabat
Rabat-Salé-Zemour-Zear
10180
Maroc",http://www.dynit.ma,1-10,2012,Société à responsabilité limitée,"51, Avenue Tadla - Aviation",,Rabat,Rabat-Salé-Zemour-Zear,10180
OMNIACADEMY,Services d’information,"74, Bd Abdelmoumen
Casablanca
20340
Maroc",http://www.omniacademy.ma,11-50,2008,Société à responsabilité limitée,"74, Bd Abdelmoumen",,Casablanca,,20340
Infomineo,Services d’information,"43 Boulevard d'Anfa
Casablanca
Casablanca
20000
Maroc",http://www.infomineo.com,51-200,2011,Société à responsabilité limitée,43 Boulevard d'Anfa,,Casablanca,Casablanca,20000
NADIA KAY & ASSOCIATES,Services à la personne,"Marina Business Center
Crystal 1 Building
CASABLANCA
--Sélectionnez votre état--
Maroc",http://www.nadiakay.net,1-10,2015,Société à responsabilité limitée,Marina Business Center,Crystal 1 Building,CASABLANCA,--Sélectionnez votre état--,
ChallengeTech,Semi-conducteurs,"2 avenue Allal Al Fassi
Madinat Al Irfane
Rabat
10000
Maroc",http://www.challenge-tech.com,1-10,2014,Société à responsabilité limitée,2 avenue Allal Al Fassi,Madinat Al Irfane,Rabat,,10000
MU-Electronics,Semi-conducteurs,"Agdal
Rabat
Maroc",http://www.mu-e.com,11-50,2003,Société à responsabilité limitée,Agdal,,Rabat,,
Nemotek Technologies,Semi-conducteurs,"Rabat Technopolis Park
BP 10305
Sala Al Jadida
11103
Maroc",http://www.nemotektechnologies.com,201-500,2008,Société à responsabilité limitée,Rabat Technopolis Park,BP 10305,Sala Al Jadida,,11103
MY BEAUTY DAY,Services à la personne,"265, Bd Zerktouni
Casablanca
20000
Maroc",http://www.mybeautyday.ma,1-10,2015,Société à responsabilité limitée,"265, Bd Zerktouni",,Casablanca,,20000
Mohamed Chkih,Services à la personne,"Marrakech
Marrakech
Marrakech
Marrakech-Tensift-Al Haouz
40 000
Maroc",http://www.mohamedchkih.net,1-10,,Société à responsabilité limitée,Marrakech,Marrakech,Marrakech,Marrakech-Tensift-Al Haouz,40 000
Serve&Help,Services à la personne,"Casablanca
Casablanca
Maroc",http://servenhelp.strikingly.com/,,2015,Société à responsabilité limitée,Casablanca,,Casablanca,,
ATEN Group,Services à la personne,"10Bis cite de la garde
Agdal
Rabat
Rabat, Sale, Zemmour, Zair
10000
Maroc",http://www!;aten-group.com,1-10,2010,Société à responsabilité limitée,10Bis cite de la garde,Agdal,Rabat,"Rabat, Sale, Zemmour, Zair",10000
Montapis,Services à la personne,"Rabat : 0659-699637
***
Casablanca : 0646-146333
Maroc",http://www.montapis.ma,11-50,2010,Société à responsabilité limitée,Rabat : 0659-699637,***,Casablanca : 0646-146333,,
Pro Facilities,Services à la personne,"7 Rue Sebta Residence Rami Bureau 8
Casablanca
Casablanca
20100
Maroc",http://www.pro-facilities.com,11-50,2012,Société à responsabilité limitée,7 Rue Sebta Residence Rami Bureau 8,,Casablanca,Casablanca,20100
Newlife Canada,Services à la personne,Maroc,http://www.newlifecanada.ca,11-50,,Société à responsabilité limitée,,,,,
ELKHAM SERVICES PLUS,Sécurité et enquêtes,"Marrakech
Menara
Maroc",http://www.elkham.com,201-500,2008,Société à responsabilité limitée,Marrakech,,Menara,,
GO INFORMATIQUE,Sécurité informatique et des réseaux,"Cité Dakhla Bloc 3D
Agadir
Sous Massa Daraa
80000
Maroc",http://www.goinformatique.com,1-10,2015,Société cotée en bourse,Cité Dakhla Bloc 3D,,Agadir,Sous Massa Daraa,80000
feelsecure,Sécurité informatique et des réseaux,"74 Imm D3 Complexe Youssef Ben Tachfine
Avenue Prince My Abdellah
Marrakech
al haouz
40000
Maroc",http://feelsecure-maroc.com/,11-50,2009,Société à responsabilité limitée,74 Imm D3 Complexe Youssef Ben Tachfine,Avenue Prince My Abdellah,Marrakech,al haouz,40000
Abagtha Consulting,Sécurité informatique et des réseaux,"219, RUE MUSTAPHA MAANI 3eme ETAGE
4984fghg
casablanca
22000
27613
Maroc",http://abagthaconsulting.com,,2012,Société à responsabilité limitée,"219, RUE MUSTAPHA MAANI 3eme ETAGE",4984fghg,casablanca,22000,27613
INEOS SA,Sécurité informatique et des réseaux,"Casanearshore, Shore 18, 3ème Etage
Casablanca
20270
Maroc",http://www.ineostech.com,11-50,,Société de personnes (associés),"Casanearshore, Shore 18, 3ème Etage",,Casablanca,,20270
I FIXE,Sécurité informatique et des réseaux,"LOT BACHKOU
CASABLANCA
ANFA
20450
Maroc",http://www.ifixe.ma,1-10,2014,Société à responsabilité limitée,LOT BACHKOU,,CASABLANCA,ANFA,20450
IGS MAROC,Sécurité et enquêtes,"Les Paquettes - Bureau 16
Casablanca
20800
Maroc",http://www.igs-securite.ma,1001-5 000,1991,Société à responsabilité limitée,Les Paquettes - Bureau 16,,Casablanca,,20800
BRIDGE Morocco,Sécurité et enquêtes,"61 Rue Agadir
Casablanca
20000
Maroc",http://www.bridge.co.ma,1-10,2004,Entreprise individuelle,61 Rue Agadir,,Casablanca,,20000
INTELLEGO SECURITY SYSTEMS,Sécurité et enquêtes,"36 B Boulevard d'Anfa
Casablanca
20000
Maroc",http://www.intellego.ma,11-50,2007,Société cotée en bourse,36 B Boulevard d'Anfa,,Casablanca,,20000
Transworld Protection,Sécurité et enquêtes,"49, Angle avenue 2 Mars et rue Victor Hugo, Immeuble ROSEAU 3ème étage Appartement 14
Casablanca
Maroc",http://www.twp.ma,1-10,2005,Société à responsabilité limitée,"49, Angle avenue 2 Mars et rue Victor Hugo, Immeuble ROSEAU 3ème étage Appartement 14",,Casablanca,,
Maroc Class Auto Sécurité,Sécurité et enquêtes,"4 rue Rossignol Quartier Oasis
Casablanca
20100
Maroc",http://www.mcas-security.com,11-50,2007,Société à responsabilité limitée,4 rue Rossignol Quartier Oasis,,Casablanca,,20100
Alomra Group International,Sécurité et enquêtes,"20100
Maroc",http://www.alomragroup.com,11-50,,Société à responsabilité limitée,,,,,20100
CONSEP sarl,Sécurité et enquêtes,"Immeuble G2, 2éme étage N°03
Casablanca
20340
Maroc",http://www.consep.ma,11-50,2009,Société à responsabilité limitée,"Immeuble G2, 2éme étage N°03",,Casablanca,,20340
GROUPE SECURITE MAROC,Sécurité et enquêtes,"AIN SEBAA
CASABLANCA
20000
Maroc",http://www.groupesecurite.ma,11-50,2010,Société à responsabilité limitée,AIN SEBAA,,CASABLANCA,,20000
Hi-Tech Security,Sécurité et enquêtes,"64 Rue Abou Taour
RDC
Casablanca
20100
Maroc",http://www.hts.ma/,11-50,2005,Société à responsabilité limitée,64 Rue Abou Taour,RDC,Casablanca,,20100
S4B GROUPE,Sécurité informatique et des réseaux,"11 Arset Lakbir
Casablanca
Casablanca
20000
Maroc",http://www.s4bgroupe.com,11-50,2008,Société à responsabilité limitée,11 Arset Lakbir,,Casablanca,Casablanca,20000
AYOURWEB,Sécurité informatique et des réseaux,"N°5, IMM 19, RESIDENCE MAAMOURA
SALA AL JADIDA
SALE
11000
Maroc",http://www.ayourweb.com,1-10,2013,Société à responsabilité limitée,"N°5, IMM 19, RESIDENCE MAAMOURA",,SALA AL JADIDA,SALE,11000
TAM Software,Sécurité informatique et des réseaux,"13 rue Oued Ziz #4
Rabat
10000
Maroc",http://www.tamsoftware.info/,1-10,2010,Société à responsabilité limitée,13 rue Oued Ziz #4,,Rabat,,10000
Near Tech Maroc,Sécurité informatique et des réseaux,"Bd Yaacoun EL Mansour
Casablanca
Maroc",http://www.neartech.ma,11-50,2010,Société à responsabilité limitée,Bd Yaacoun EL Mansour,,Casablanca,,
Oxyliom Group,Sécurité informatique et des réseaux,"Route de Nouaceur, angle Rs 114 et CT 1029
Casablanca
22000
Maroc",http://www.oxyliom-group.com,1-10,2012,Société à responsabilité limitée,"Route de Nouaceur, angle Rs 114 et CT 1029",,Casablanca,,22000
MAROC GLOBAL Maintenance Informatique,Sécurité informatique et des réseaux,"56, Rue Al Fourat 1er étage Mâarif
casablanca
Maroc",http://www.maroc-global.ma,11-50,,Société à responsabilité limitée,"56, Rue Al Fourat 1er étage Mâarif",,casablanca,,
IPRC (Maroc),Sécurité informatique et des réseaux,"Technopark
Route de Nouaceur, angle Rs 114 et CT 1029
Casablanca
20000
Maroc",http://www.iprc.ma,11-50,2009,Société à responsabilité limitée,Technopark,"Route de Nouaceur, angle Rs 114 et CT 1029",Casablanca,,20000
LMPS Group,Sécurité informatique et des réseaux,"4, Lotissement la Colline, BP 92967
Casablanca
20150
Maroc",http://www.lmps-group.com,11-50,2007,Société à responsabilité limitée,"4, Lotissement la Colline, BP 92967",,Casablanca,,20150
